date,hits,keyword,geo,time,gprop,category
2024 Jan,23,electric car,US,2004-01-01 2026-08-31,web,0
2024 Feb,23,electric car,US,2004-01-01 2026-08-31,web,0
2024 Mar,23,electric car,US,2004-01-01 2026-08-31,web,0
2024 Apr,25,electric car,US,2004-01-01 2026-08-31,web,0
2024 May,25,electric car,US,2004-01-01 2026-08-31,web,0
2024 Jun,24,electric car,US,2004-01-01 2026-08-31,web,0
2024 Jul,23,electric car,US,2004-01-01 2026-08-31,web,0
2024 Aug,23,electric car,US,2004-01-01 2026-08-31,web,0
2024 Sep,23,electric car,US,2004-01-01 2026-08-31,web,0
2024 Oct,22,electric car,US,2004-01-01 2026-08-31,web,0
2024 Nov,23,electric car,US,2004-01-01 2026-08-31,web,0
2024 Dec,23,electric car,US,2004-01-01 2026-08-31,web,0
2025 Jan,23,electric car,US,2004-01-01 2026-08-31,web,0
2025 Feb,22,electric car,US,2004-01-01 2026-08-31,web,0
2025 Mar,27,electric car,US,2004-01-01 2026-08-31,web,0
2025 Apr,31,electric car,US,2004-01-01 2026-08-31,web,0
2025 May,24,electric car,US,2004-01-01 2026-08-31,web,0
2025 Jun,23,electric car,US,2004-01-01 2026-08-31,web,0
2025 Jul,30,electric car,US,2004-01-01 2026-08-31,web,0
2025 Aug,26,electric car,US,2004-01-01 2026-08-31,web,0
2025 Sep,25,electric car,US,2004-01-01 2026-08-31,web,0
2025 Oct,23,electric car,US,2004-01-01 2026-08-31,web,0
2025 Nov,25,electric car,US,2004-01-01 2026-08-31,web,0
2025 Dec,27,electric car,US,2004-01-01 2026-08-31,web,0
2026 Jan,25,electric car,US,2004-01-01 2026-08-31,web,0
2026 Feb,30,electric car,US,2004-01-01 2026-08-31,web,0
2026 Mar,49,electric car,US,2004-01-01 2026-08-31,web,0
2026 Apr,100,electric car,US,2004-01-01 2026-08-31,web,0
2026 May,82,electric car,US,2004-01-01 2026-08-31,web,0
2026 Jun,74,electric car,US,2004-01-01 2026-08-31,web,0
2026 Jul,44,electric car,US,2004-01-01 2026-08-31,web,0
2026 Aug,35,electric car,US,2004-01-01 2026-08-31,web,0
